"","act","position","t_iqr","t_mad","t_max","t_mcr","t_mean","t_min","t_rms","t_sttdev","t_variance"
"1","Walking","Hand Fixed",2.99318869545601,1.57939888934211,14.7351844502267,0.125,10.7393110273006,7.09501915645465,10.8963207886992,1.84309668469573,3.39700538913639
"2","Walking","Hand Fixed",2.60815687821714,1.31427884575081,13.5530756328167,0.140625,10.5389637706518,7.634670286553,10.6515059341649,1.54428666588835,2.38482130644057
"3","Walking","Hand Fixed",3.04562814827482,1.58993087393713,14.487368309161,0.125,10.6573544307795,6.81928473672631,10.8230101343294,1.88635757600216,3.55834490454073
"4","Walking","Hand Swing",4.4675920086294,2.5537229520034,18.3631019808013,0.078125,13.5671125737512,7.27254809086933,13.903427630648,3.0395322488552,9.23875629183075
"5","Walking","Hand Swing",4.98100454139952,2.68190167094033,20.8795210006212,0.0625,14.1347004796051,8.03630759912864,14.4897713342904,3.18805829179386,10.1637156718756
"6","Walking","Hand Swing",6.7406246886952,3.14504152218664,18.8219239602134,0.0625,13.3361049036035,6.95847026075532,13.794158693729,3.52521205998445,12.4271200678598
"7","Walking","Hand Swing",5.51983827485877,2.77435109973839,19.4958568976118,0.09375,13.4729795534783,8.00496244645137,13.8474752588544,3.19865487293314,10.2313929961389
"8","Walking","Pant Pocket",4.31818765014945,2.28188057229662,16.030218704425,0.140625,10.645652930929,5.06312009532529,10.9827791506816,2.70027990157487,7.29151154684919
"9","Walking","Pant Pocket",4.56267581206473,2.60739678782525,17.5670649852369,0.140625,11.3950998978495,4.84902589723405,11.8106263272173,3.10525241473031,9.64259255918839
"10","Walking","Pant Pocket",4.72305333670645,2.81495909494193,17.6007721683817,0.15625,10.5256923350377,3.47853284849047,11.0748494906847,3.44413880519486,11.8620921094491
"11","Walking","Back Pocket",3.18220404133154,2.10734886878793,16.6632846553975,0.140625,10.8158732098435,4.99528258272244,11.1509811697513,2.71316563385618,7.36126775673818
"12","Walking","Back Pocket",4.2939845968074,2.31552640069861,16.3540254414007,0.140625,10.948601843733,5.35070746464756,11.2820436864447,2.72261407662799,7.41262741025289
